date,fips,abbr,State/Territory/Federal Entity,Doses Distributed,Doses Administered,Distributed per 100K,Administered per 100K,Administered Moderna,Administered Pfizer,Administered J&J,Administered Dose 1,Administered Dose 2,Distributed Moderna,Distributed Pfizer,Distributed J&J,Additional Doses,Additional Doses Moderna,Additional Doses Pfizer,Additional Doses Janssen,Total Cases,Confirmed Cases,Probable Cases,New Cases,Cases Last 7 Days,Deaths Last 7 Days,Case Rate per 100K Last 7 Days,Death Rate per 100K Last 7 Days,Total Deaths,Confirmed Deaths,Probable Deaths,New Deaths,Death Rate per 100K,Case Rate per 100K,Tests per 100K Last 7 Days,Tests Last 7 Days,Tests per 100K Last 30 Days,Tests Last 30 Days,Tests per 100K,Total Tests
3/10/2020,2,AK,Alaska,,,,,,,,,,,,,,,,,0,,,0,,,,,0,,,0,,,,,,,,
3/10/2020,1,AL,Alabama,,,,,,,,,,,,,,,,,0,,,0,,,,,0,,,0,,,,,,,,
3/10/2020,5,AR,Arkansas,,,,,,,,,,,,,,,,,0,,,0,,,,,0,,,0,,,,,,,,
3/10/2020,60,AS,American Samoa,,,,,,,,,,,,,,,,,0,,,0,,,,,0,,,0,,,,,,,,
3/10/2020,4,AZ,Arizona,,,,,,,,,,,,,,,,,8,,,2,,,,,0,,,0,,,,,,,,
3/10/2020,6,CA,California,,,,,,,,,,,,,,,,,152,,,17,,,,,2,,,0,,,,,,,,
3/10/2020,8,CO,Colorado,,,,,,,,,,,,,,,,,17,,,5,,,,,0,,,0,,,,,,,,
3/10/2020,9,CT,Connecticut,,,,,,,,,,,,,,,,,2,,,1,,,,,0,,,0,,,,,,,,
3/10/2020,11,DC,District of Columbia,,,,,,,,,,,,,,,,,2,,,0,,,,,0,,,0,,,,,,,,
3/10/2020,10,DE,Delaware,,,,,,,,,,,,,,,,,0,,,0,,,,,0,,,0,,,,,,,,
3/10/2020,12,FL,Florida,,,,,,,,,,,,,,,,,19,,,0,,,,,2,,,0,,,,,,,,
3/10/2020,64,FM,Federated States of Micronesia,,,,,,,,,,,,,,,,,0,,,0,,,,,0,,,0,,,,,,,,
3/10/2020,13,GA,Georgia,,,,,,,,,,,,,,,,,39,39,0,13,,,,,0,,,0,,,,,,,,
3/10/2020,66,GU,Guam,,,,,,,,,,,,,,,,,0,,,0,,,,,0,,,0,,,,,,,,
3/10/2020,15,HI,Hawaii,,,,,,,,,,,,,,,,,2,,,0,,,,,0,,,0,,,,,,,,
3/10/2020,19,IA,Iowa,,,,,,,,,,,,,,,,,13,,,5,,,,,0,,,0,,,,,,,,
3/10/2020,16,ID,Idaho,,,,,,,,,,,,,,,,,0,,,0,,,,,0,,,0,,,,,,,,
3/10/2020,17,IL,Illinois,,,,,,,,,,,,,,,,,19,,,8,,,,,0,,,0,,,,,,,,
3/10/2020,18,IN,Indiana,,,,,,,,,,,,,,,,,5,,,2,,,,,0,,,0,,,,,,,,
3/10/2020,20,KS,Kansas,,,,,,,,,,,,,,,,,1,,,0,,,,,0,,,0,,,,,,,,
3/10/2020,21,KY,Kentucky,,,,,,,,,,,,,,,,,4,,,3,,,,,0,,,0,,,,,,,,
3/10/2020,22,LA,Louisiana,,,,,,,,,,,,,,,,,1,,,0,,,,,0,,,0,,,,,,,,
3/10/2020,25,MA,Massachusetts,,,,,,,,,,,,,,,,,91,,,63,,,,,0,,,0,,,,,,,,
3/10/2020,24,MD,Maryland,,,,,,,,,,,,,,,,,9,,,0,,,,,0,,,0,,,,,,,,
3/10/2020,23,ME,Maine,,,,,,,,,,,,,,,,,0,,,0,,,,,0,,,0,,,,,,,,
3/10/2020,26,MI,Michigan,,,,,,,,,,,,,,,,,2,,,2,,,,,0,,,0,,,,,,,,
3/10/2020,27,MN,Minnesota,,,,,,,,,,,,,,,,,4,,,2,,,,,0,,,0,,,,,,,,
3/10/2020,29,MO,Missouri,,,,,,,,,,,,,,,,,1,,,0,,,,,0,,,0,,,,,,,,
3/10/2020,69,MP,Northern Mariana Islands,,,,,,,,,,,,,,,,,0,,,0,,,,,0,,,0,,,,,,,,
